date,Revenues,Income,Taxes,Income tax,Profit tax,Value added tax,Excise duty,Import tax,Other taxes,Grants,Other revenues,interest,Dividends,Rent,Sale of goods and services,Sanctions (fines and penalties),Voluntary transfers other than grants,Decrease in non-financial assets,Fixed assets,Inventories,Valuables,Non-produced assets,Decrease in financial assets,Loans,Shares and other equity,Increase in liabilities,Domestic,Foreign,Expenditure,Compensation of employees,Goods and services,Interest,Subsidies,Social security,Other expenses,Increase in non-financial assets,Increase in financial assets,Decrease in liabilities,State budget balance,From domestic products,From imported products,is_weekend,is_holiday
2015-01-05,22566028.48,21960888.85,21152135.16,3838554.97,239718.81,14478623.61,2071738.98,449056.0,74442.79,0.0,808753.69,129719.66,0.0,70.0,454671.56,169611.54,0.0,0.0,0.0,0.0,0.0,0.0,605139.63,605139.63,0.0,0.0,0.0,0.0,405627.77,0.0,20481.08,20865.81,58570.0,27500.0,0.0,0.0,0.0,278210.88,456579561.66,0.0,0.0,0,0
2015-01-06,21516389.48,21516252.7,21077350.89,3307672.47,467331.52,12903023.88,4156226.57,209682.76,33038.69,0.0,438901.81,0.0,0.0,10272.08,201509.55,161415.36,0.0,136.78,0.0,0.0,0.0,136.78,0.0,0.0,0.0,0.0,0.0,0.0,31552883.09,142007.83,263396.72,0.0,56039.0,46997.37,30904630.77,0.0,0.0,139811.4,446543068.05,0.0,0.0,0,0
2015-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,446543068.05,0.0,0.0,0,1
2015-01-08,13424962.85,13934819.56,12903044.82,2741876.08,422042.13,8768279.27,665642.11,268429.95,36775.28,19418.73,1031774.74,0.0,0.0,708.33,239173.24,510037.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-509856.71,-509856.71,0.0,8580828.87,213800.76,145583.85,3063154.76,1140.0,98334.25,-40050.97,999.99,0.0,5078447.5,451387202.03,0.0,0.0,0,0
2015-01-09,19644529.55,19644529.55,18908658.22,4296423.09,1421355.36,12394455.41,580229.72,179613.16,36342.48,0.0,735871.33,0.0,0.0,141.42,94322.91,127277.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149963349.09,170284.28,889280.89,5834573.24,321349.79,131158958.9,10573.85,77000.0,0.0,11501328.14,321068382.49,0.0,0.0,0,0
2015-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321068382.49,0.0,0.0,1,0
2015-01-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321068382.49,0.0,0.0,1,0
2015-01-12,30275028.75,30275026.75,29493531.77,3682427.07,734065.79,18568076.2,5660522.01,480514.44,364434.01,0.0,781494.98,0.0,0.0,4247.2,253779.87,276725.74,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11422581.77,11913.57,6819721.1,750000.0,255049.09,1793314.45,19.0,1792564.56,0.0,0.0,339920829.47,0.0,0.0,0,0
2015-01-13,18690227.94,18683350.44,18267183.55,3901553.04,608172.65,12771206.98,711564.98,230931.59,41230.31,61055.78,405111.11,2524.0,0.0,5457.55,115039.57,158245.0,0.0,2369.5,0.0,0.0,0.0,2369.5,4658.0,4658.0,0.0,0.0,0.0,0.0,40932838.62,903014.6,581487.03,1167940.73,315986.07,15072949.64,1758.86,3525186.36,0.0,19314515.33,317678233.48,0.0,0.0,0,0
2015-01-14,36409477.16,36347658.16,35562508.67,3343285.19,1006055.19,28590319.8,2411859.34,173279.51,37709.64,761357.8,785149.49,7475.0,5000.0,10.0,237622.05,178514.92,0.0,0.0,0.0,0.0,0.0,0.0,61819.0,61819.0,0.0,0.0,0.0,0.0,2809159.81,4083.33,617089.76,226583.98,44657.23,872633.0,512.47,92089.06,0.0,190153.18,351278556.33,0.0,0.0,0,0
2015-01-15,139033732.25,113767791.92,112888972.15,7545708.76,1464475.69,80489683.2,23103859.72,222222.35,57401.77,10004.26,868815.51,0.43,0.0,0.0,429045.66,95053.27,48010.2,1443.89,0.0,0.0,0.0,1443.89,0.0,0.0,0.0,25264496.44,25264496.44,0.0,26180800.0,1903.0,1394679.27,2204230.0,96437.23,1136055.71,29900.96,23028.76,21000000.0,294565.07,464131488.58,0.0,0.0,0,0
2015-01-16,51410836.02,51404272.42,50890182.58,6660201.67,919265.45,31751053.79,11268529.85,232316.55,58565.27,93654.1,439735.74,12.97,0.0,2275.0,199886.88,91948.83,0.0,-511.0,7.0,0.0,0.0,-518.0,1465.42,0.0,0.0,5609.18,0.0,5609.18,28856724.51,2032.39,3042177.76,762500.0,134976.21,23504098.08,747563.3,626244.85,0.0,17831.92,486685600.09,0.0,0.0,0,0
