target,horizon,origin_date,origin_value,target_date,p10,p50,p90,p50_quantile_model,point_model,interval_model,n_train_rows,n_features,modelled_as,target_transform
Revenues,1,2025-08-06,46490793.48,2025-08-07,42438365.161524326,99608225.80690622,147795383.9336027,100055719.78866996,LightGBM_L1,GBQuantile,2409,47,level,ratio
Revenues,2,2025-08-06,46490793.48,2025-08-08,46301457.93642291,76354153.91850992,108784926.38544394,82302256.53041568,LightGBM_L1,GBQuantile,2408,47,level,ratio
Revenues,3,2025-08-06,46490793.48,2025-08-11,38825006.559370846,77637465.8497332,104202633.61905555,82306591.98571599,LightGBM_L1,GBQuantile,2407,47,level,ratio
Revenues,4,2025-08-06,46490793.48,2025-08-12,46123434.22129916,61557272.42298376,102689428.32927194,66807179.100952744,LightGBM_L1,GBQuantile,2406,47,level,ratio
Revenues,5,2025-08-06,46490793.48,2025-08-13,44110905.84297835,58319423.373441845,141892728.86728016,62374553.33321395,LightGBM_L1,GBQuantile,2406,47,level,ratio
Expenditure,1,2025-08-06,183904534.38,2025-08-07,23007255.377666205,64956258.25832297,175960023.65097326,65073359.65993362,LightGBM_L1,GBQuantile,2409,36,level,raw
Expenditure,2,2025-08-06,183904534.38,2025-08-08,26444722.612418592,117583072.522123,209573105.3554992,78128513.44575866,LightGBM_L1,GBQuantile,2408,36,level,raw
Expenditure,3,2025-08-06,183904534.38,2025-08-11,25209021.50239071,89504218.7463155,182840016.1618077,73757000.74738978,LightGBM_L1,GBQuantile,2407,36,level,raw
Expenditure,4,2025-08-06,183904534.38,2025-08-12,20291544.958632573,85183936.41396998,213022354.52116567,64470874.8109044,LightGBM_L1,GBQuantile,2406,36,level,raw
Expenditure,5,2025-08-06,183904534.38,2025-08-13,32290290.25075333,92463678.06739874,209041429.2521228,59504169.55600693,LightGBM_L1,GBQuantile,2406,36,level,raw
State budget balance,1,2025-08-06,1756980317.79,2025-08-07,1667268012.9246714,1736111022.0432987,1818628352.4681232,1755137688.000758,HistGBDT_L1,GBQuantile,2409,45,delta (level reconstructed),raw
State budget balance,2,2025-08-06,1756980317.79,2025-08-08,1620142924.765594,1714787377.7604108,1832176442.893008,1724757231.2247558,HistGBDT_L1,GBQuantile,2408,45,delta (level reconstructed),raw
State budget balance,3,2025-08-06,1756980317.79,2025-08-11,1611456521.917498,1748291805.7621908,1831894857.3858228,1721581356.6407924,HistGBDT_L1,GBQuantile,2407,45,delta (level reconstructed),raw
State budget balance,4,2025-08-06,1756980317.79,2025-08-12,1579806333.6318333,1690622473.7459812,1819622078.7066648,1690678438.626593,HistGBDT_L1,GBQuantile,2406,45,delta (level reconstructed),raw
State budget balance,5,2025-08-06,1756980317.79,2025-08-13,1576775688.4379008,1704581222.5345123,1872204590.9992232,1714296203.3064623,HistGBDT_L1,GBQuantile,2406,45,delta (level reconstructed),raw
