date,Compensation of employees,Decrease in financial assets,Decrease in liabilities,Decrease in non-financial assets,Dividends,Domestic,Excise duty,Expenditure,Fixed assets,Foreign,From domestic products,From imported products,Goods and services,Grants,Import tax,Income,Income tax,Increase in financial assets,Increase in liabilities,Increase in non-financial assets,Interest,Inventories,Loans,Non-produced assets,Other expenses,Other revenues,Other taxes,Profit tax,Rent,Revenues,Sale of goods and services,Sanctions (fines and penalties),Shares and other equity,Social security,State budget balance,Subsidies,Taxes,Valuables,Value added tax,Voluntary transfers other than grants,interest,is_weekend,is_holiday
2015-01-05,0.0,605139.63,278210.88,0.0,0.0,0.0,2071738.98,405627.77,0.0,0.0,,,20481.08,0.0,449056.0,21960888.85,3838554.97,0.0,0.0,0.0,20865.81,0.0,605139.63,0.0,0.0,808753.69,74442.79,239718.81,70.0,22566028.48,454671.56,169611.54,0.0,27500.0,456579561.66,58570.0,21152135.16,0.0,14478623.61,0.0,129719.66,0,0
2015-01-06,142007.83,0.0,139811.4,136.78,0.0,0.0,4156226.57,31552883.09,0.0,0.0,,,263396.72,0.0,209682.76,21516252.7,3307672.47,0.0,0.0,0.0,0.0,0.0,0.0,136.78,30904630.77,438901.81,33038.69,467331.52,10272.08,21516389.48,201509.55,161415.36,0.0,46997.37,446543068.05,56039.0,21077350.89,0.0,12903023.88,0.0,0.0,0,0
2015-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
2015-01-08,213800.76,0.0,5078447.5,0.0,0.0,-509856.71,665642.11,8580828.87,0.0,0.0,,,145583.85,19418.73,268429.95,13934819.56,2741876.08,0.0,-509856.71,999.99,3063154.76,0.0,0.0,0.0,-40050.97,1031774.74,36775.28,422042.13,708.33,13424962.85,239173.24,510037.57,0.0,98334.25,451387202.03,1140.0,12903044.82,0.0,8768279.27,0.0,0.0,0,0
2015-01-09,170284.28,0.0,11501328.14,0.0,0.0,0.0,580229.72,149963349.09,0.0,0.0,,,889280.89,0.0,179613.16,19644529.55,4296423.09,0.0,0.0,77000.0,5834573.24,0.0,0.0,0.0,10573.85,735871.33,36342.48,1421355.36,141.42,19644529.55,94322.91,127277.33,0.0,131158958.9,321068382.49,321349.79,18908658.22,0.0,12394455.41,0.0,0.0,0,0
2015-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-12,11913.57,0.0,0.0,2.0,0.0,0.0,5660522.01,11422581.77,2.0,0.0,,,6819721.1,0.0,480514.44,30275026.75,3682427.07,0.0,0.0,1792564.56,750000.0,0.0,0.0,0.0,19.0,781494.98,364434.01,734065.79,4247.2,30275028.75,253779.87,276725.74,0.0,1793314.45,339920829.47,255049.09,29493531.77,0.0,18568076.2,0.0,0.0,0,0
2015-01-13,903014.6,4658.0,19314515.33,2369.5,0.0,0.0,711564.98,40932838.62,0.0,0.0,,,581487.03,61055.78,230931.59,18683350.44,3901553.04,0.0,0.0,3525186.36,1167940.73,0.0,4658.0,2369.5,1758.86,405111.11,41230.31,608172.65,5457.55,18690227.94,115039.57,158245.0,0.0,15072949.64,317678233.48,315986.07,18267183.55,0.0,12771206.98,0.0,2524.0,0,0
2015-01-14,4083.33,61819.0,190153.18,0.0,5000.0,0.0,2411859.34,2809159.81,0.0,0.0,,,617089.76,761357.8,173279.51,36347658.16,3343285.19,0.0,0.0,92089.06,226583.98,0.0,61819.0,0.0,512.47,785149.49,37709.64,1006055.19,10.0,36409477.16,237622.05,178514.92,0.0,872633.0,351278556.33,44657.23,35562508.67,0.0,28590319.8,0.0,7475.0,0,0
2015-01-15,1903.0,0.0,294565.07,1443.89,0.0,25264496.44,23103859.72,26180800.0,0.0,0.0,,,1394679.27,10004.26,222222.35,113767791.92,7545708.76,21000000.0,25264496.44,23028.76,2204230.0,0.0,0.0,1443.89,29900.96,868815.51,57401.77,1464475.69,0.0,139033732.25,429045.66,95053.27,0.0,1136055.71,464131488.58,96437.23,112888972.15,0.0,80489683.2,48010.2,0.43,0,0
2015-01-16,2032.39,1465.42,17831.92,-511.0,0.0,0.0,11268529.85,28856724.51,7.0,5609.18,,,3042177.76,93654.1,232316.55,51404272.42,6660201.67,0.0,5609.18,626244.85,762500.0,0.0,0.0,-518.0,747563.3,439735.74,58565.27,919265.45,2275.0,51410836.02,199886.88,91948.83,0.0,23504098.08,486685600.09,134976.21,50890182.58,0.0,31751053.79,0.0,12.97,0,0
2015-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1
2015-01-20,3277008.89,0.0,735357.11,539.95,0.0,0.0,6006868.85,52454726.13,181.55,26475.31,,,1549514.62,34372234.51,628379.79,39990987.21,7540381.14,0.0,26475.31,5250.58,5358308.59,0.0,0.0,358.4,4496498.93,3049922.94,177367.64,1222509.25,647.61,40018002.47,146201.19,460140.2,0.0,1464582.8,474249956.43,1207887.22,36929147.15,0.0,21353290.48,1085.0,2177696.54,0,0
2015-01-21,7192695.13,2482.42,6360.2,4838187.49,0.0,0.0,3469155.76,17741403.37,33.0,13265.01,,,4330147.21,63212.72,228852.38,25025330.83,7584725.4,0.0,13265.01,417868.1,352500.0,0.0,2482.42,4838154.49,987408.34,589032.77,96581.64,620987.62,0.0,29879265.75,35082.78,187625.57,0.0,2782790.07,486387917.91,1671297.96,24373421.7,0.0,12373108.9,0.0,800.0,0,0
2015-01-22,8583539.19,66.73,84110.59,395.5,0.0,65018.4,877793.46,53983903.4,19.0,10502.22,,,1175596.76,38514144.43,146429.02,18928242.63,6041406.63,0.0,75520.62,99828.32,2171450.6,0.0,0.0,376.5,203544.28,454781.81,57550.58,1313532.82,20.0,19004225.48,75556.69,163850.5,0.0,2816316.79,451410060.59,420604.96,18388228.3,0.0,9951515.79,0.0,0.0,0,0
2015-01-23,15938447.82,0.0,5643522.49,12.0,0.0,0.0,9567930.34,36243359.45,12.0,27549.43,,,5914373.74,160112.46,261559.72,38894720.71,10986594.38,0.0,27549.43,3816098.29,795555.05,0.0,0.0,0.0,383668.15,842533.45,74393.71,878843.86,-5713.4,38922282.14,53370.68,217962.5,0.0,2810910.66,454089133.28,940783.25,37892074.8,0.0,16118636.39,0.0,0.0,0,0
2015-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2015-01-26,48184347.94,0.0,284000.35,2185.1,0.0,0.0,2980148.34,59172591.69,16.0,276539.88,,,2064950.95,236661.68,424056.94,31404222.86,14661834.82,0.0,276539.88,685329.03,4630000.0,0.0,0.0,2169.1,707340.24,586354.53,117964.93,765832.46,160.21,31682947.84,104485.47,247980.64,0.0,2142596.27,426599542.39,474026.91,30581206.65,0.0,11631319.16,0.0,0.0,0,0
