date,Compensation of employees,Decrease in financial assets,Decrease in liabilities,Decrease in non-financial assets,Dividends,Domestic,Excise duty,Expenditure,Fixed assets,Foreign,From domestic products,From imported products,Goods and services,Grants,Import tax,Income,Income tax,Increase in financial assets,Increase in liabilities,Increase in non-financial assets,Interest,Inventories,Loans,Non-produced assets,Other expenses,Other revenues,Other taxes,Profit tax,Rent,Revenues,Sale of goods and services,Sanctions (fines and penalties),Shares and other equity,Social security,State budget balance,Subsidies,Taxes,Valuables,Value added tax,Voluntary transfers other than grants,interest,is_weekend,is_holiday
2025-06-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-09,48131.21,0.0,0.0,0.0,0.0,0.0,32437481.6,98096214.23,0.0,183304.11,796723.26,82759362.85,5964030.88,5892452.91,1657981.19,76478564.7,1254616.65,0.0,183304.11,3770686.93,0.0,0.0,0.0,0.0,7802420.22,4468065.43,-15094805.42,500796.56,1129.5,76661868.81,2027434.76,1485516.04,0.0,72496283.27,1877591880.2,2258032.99,71874675.09,0.0,51118604.51,953985.13,0.0,0,0
2025-06-10,74607.07,0.0,0.0,0.0,0.0,0.0,9735563.99,40822726.48,0.0,3664256.6,1775362.14,25085077.85,12766839.33,4669929.78,630184.78,70813514.58,949955.53,4957961.13,3664256.6,6396821.1,0.0,0.0,0.0,0.0,6574382.5,3492507.57,37886033.44,861204.1,682.56,74406157.18,1487129.11,654773.3,0.0,4460329.51,1911200216.61,1055045.23,67187817.84,0.0,17124876.0,1349922.6,0.0,0,0
2025-06-11,143455.38,0.0,20925386.4,0.0,0.0,0.0,10218197.67,74343168.91,0.0,245248.17,-487958.76,24996597.76,16408411.45,2661718.36,341198.67,65656155.3,740949.29,0.0,245248.17,5188273.92,17112616.08,0.0,0.0,0.0,1304784.13,3477552.1,35665126.6,680513.12,27.0,65901403.47,311091.14,669268.35,0.0,9245651.81,1902759188.24,1595047.9,61936426.68,0.0,14290441.33,490812.18,2006353.43,0,0
2025-06-12,86364.47,0.0,0.0,0.0,0.0,28832985.37,3229613.4,126022812.21,0.0,205394.12,1786753.15,11840349.7,8086645.31,3832500.3,194139.11,54225766.93,700705.3,0.0,29038379.49,4477072.28,1468822.3,0.0,0.0,0.0,32280419.16,3522646.6,35822275.34,67200.99,672716.1,83264146.42,1719300.27,537967.47,0.0,75222002.18,1860007749.62,860682.95,50411423.59,0.0,10397489.45,592458.31,204.45,0,0
2025-06-13,27243.77,0.0,0.0,8693172.12,0.0,0.0,1438760.75,136728368.81,0.0,63488.88,2430805.32,7834693.0,7178923.02,4210502.5600000005,66883.59,212488377.6,1063586.84,0.0,63488.88,5290285.77,0.0,0.0,0.0,8693172.12,104944051.56,4766512.65,195878735.51,143449.35,0.0,221245038.6,283418.86,573872.7,0.0,14982899.78,1944526835.11,398173.69,207418153.61,0.0,8826737.57,1204097.65,2705123.44,0,0
2025-06-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0
2025-06-16,18719.27,0.0,17490262.36,0.0,0.0,0.0,37655767.19,63354172.61,0.0,152107.21,126129497.77,77172437.56,10647636.51,3048981.52,1406592.52,172400297.97,538921913.83,0.0,152107.21,22936144.71,5368637.95,0.0,0.0,0.0,495075.69,2165662.39,-747007483.38,173430180.53,765.62,172552405.18,358376.51,1039381.59,0.0,1680794.85,2053725923.12,1848436.58,170054118.75,0.0,165646168.14,767138.67,0.0,0,0
2025-06-17,12664.69,0.0,0.0,472.5,0.0,0.0,20000808.99,49506470.67,472.5,756503.69,48509327.900000006,34071044.34,3622541.91,3808613.41,411472.58,117873723.38,10763934.43,0.0,756503.69,10799073.25,0.0,0.0,0.0,0.0,5285050.72,1448601.49,13657854.8,8981938.21,68693.3,118630699.57,198344.36,589964.94,0.0,25206848.05,2122881302.64,801228.27,116395572.26,0.0,62579563.25,591598.89,0.0,0,0
